Id,Label,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eigenvector Centrality
226039893761,,183,0,1,1,1.0,0.0,1.0,0.0
200058246699288,,183,0,1,1,1.0,0.0,1.0,0.0
19816058884,,183,0,1,1,1.0,0.0,1.0,0.0
157022231008959,,183,0,1,1,1.0,0.0,1.0,0.0
183579145102690,,183,0,1,1,1.0,0.0,1.0,0.0
559942020685806,,183,0,1,1,1.0,0.0,1.0,0.0
169714826421081,,565,0,1,1,1.0,0.0,1.0,0.0
378051472301601,,565,0,1,1,1.0,0.0,1.0,0.0
198348250195087,,565,0,1,1,1.0,0.0,1.0,0.0
1397477737132887,,565,0,1,1,1.0,0.0,1.0,0.0
344974338915876,,565,0,1,1,1.0,0.0,1.0,0.0
117384551638078,,565,0,1,1,1.0,0.0,1.0,0.0
404221492926697,,565,0,1,1,1.0,0.0,1.0,0.0
334893789912928,,565,0,1,1,1.0,0.0,1.0,0.0
565420016884205,,565,0,1,1,1.0,0.0,1.0,0.0
417939958252764,,565,0,1,1,1.0,0.0,1.0,0.0
156189131140392,,565,0,1,1,1.0,0.0,1.0,0.0
495642410507657,,565,0,1,1,1.0,0.0,1.0,0.0
121791671220792,,565,0,1,1,1.0,0.0,1.0,0.0
231205392666,,565,0,1,1,1.0,0.0,1.0,0.0
362243607208536,,565,0,1,1,1.0,0.0,1.0,0.0
382550875215579,,565,0,1,1,1.0,0.0,1.0,0.0
212914478730586,,565,0,1,1,1.0,0.0,1.0,0.0
452656098197105,,565,0,1,1,1.0,0.0,1.0,0.0
111204668925151,,565,0,1,1,1.0,0.0,1.0,0.0
530592353667837,,565,0,2,2,3.0,0.0,3.0,0.0
457813894236309,,565,0,1,1,1.0,0.0,1.0,0.0
206049349440445,,565,0,1,1,1.0,0.0,1.0,0.0
172504556114167,,565,0,1,1,1.0,0.0,1.0,0.0
142727145762765,,565,0,1,1,1.0,0.0,1.0,0.0
111379525554142,,565,0,1,1,1.0,0.0,1.0,0.0
176491085713003,,565,0,1,1,1.0,0.0,1.0,0.0
105633829471456,,565,0,1,1,1.0,0.0,1.0,0.0
268305623218293,,565,0,1,1,1.0,0.0,1.0,0.0
151933584823438,,565,0,1,1,1.0,0.0,1.0,0.0
391911091808,,565,0,1,1,1.0,0.0,1.0,0.0
105269014204,,565,0,2,2,3.0,0.0,3.0,0.0
